tweet_id,created_at,date,hour,weekday,username,platform,country,tweet_text_raw,text_clean,likes,retweets,sentiment_score,sentiment
1001,2024-02-01T09:15:00Z,2024-02-01,9,Thursday,alice,Web,United States,Great work @team! Version 2.0 https://example.com is so useful 🔥,great work USER version NUMBER URL useful,124,3,0.9859126259107144,Positive
1002,2024-01-15T00:00:00Z,2024-01-15,0,Monday,bob,Web,United States,The new dashboard update looks clean and helpful.,new dashboard update look clean helpful,45,1,0.9689426342956722,Positive
1003,2024-01-15T00:00:00Z,2024-01-15,0,Monday,carol,Web,United States,App crash again after the update. This is terrible.,app crash update terrible,12,0,-0.9300356237217784,Negative
1004,2024-02-03T14:30:00Z,2024-02-03,14,Saturday,dave,Mobile,United States,Why does the dashboard freeze every time I open reports?,dashboard freeze every time open report,1200,22,-0.6574353789910674,Negative
1005,2024-02-04T18:05:00Z,2024-02-04,18,Sunday,erin,iOS,United States,Trying the new filter today. Not sure yet.,trying new filter today sure yet,8,0,-0.0162919647991657,Neutral
1006,2024-02-05T11:11:11Z,2024-02-05,11,Monday,frank,iOS,United Kingdom,Love the dark mode 😍 #dashboard https://viz.example.org/app,love dark mode dashboard URL,67,5,0.9798008364159614,Positive
1007,2024-02-06T08:00:00Z,2024-02-06,8,Tuesday,grace,Android,United Kingdom,Version 3 shipped! 10 new charts and better labels.,version NUMBER shipped NUMBER new chart better label,17,4,0.9651025112252682,Positive
1008,2024-02-07T21:45:00Z,2024-02-07,21,Wednesday,hank,Android,Canada,Another software crash. Great. Just great.,another software crash great great,-5,0,-0.6327134743332863,Negative
1009,2024-02-08T00:00:00Z,2024-02-08,0,Thursday,ina,Mobile,Canada,Logged 3 hours on the dashboard. Fine I guess.,logged NUMBER hour dashboard fine guess,0,0,0.2921721432358026,Neutral
1010,2024-08-02T16:20:00Z,2024-08-02,16,Friday,jake,Web,United Kingdom,Really useful export button @productteam #analytics,really useful export button USER analytics,33,2,0.9591485224664212,Positive
1012,2024-02-10T12:00:00Z,2024-02-10,12,Saturday,leo,iOS,United States,Wow this update is actually fast,wow update actually fast,21,1,0.9739882834255696,Positive
1014,2024-02-12T19:19:19Z,2024-02-12,19,Monday,nina,Web,United Kingdom,Saw 4 mentions of the dashboard in class today.,saw NUMBER mention dashboard class today,5,0,0.0363989137113094,Neutral
1015,2024-02-13T03:03:03Z,2024-02-13,3,Tuesday,omar,Mobile,Canada,Best visualization tool I used in 2024. Thanks @design!,best visualization tool used NUMBER thanks USER,88,9,0.9848444797098636,Positive
1016,2024-02-13T22:10:00Z,2024-02-13,22,Tuesday,pat,iOS,Canada,The crash report is useless. Fix the dashboard please.,crash report useless fix dashboard please,2,0,-0.9416661667637528,Negative
1017,2024-02-14T10:10:10Z,2024-02-14,10,Wednesday,quinn,Android,United States,Shipped my first D3 chart with this data 🎉 #dataviz,shipped first chart data dataviz,54,6,0.9455444653285668,Positive
1018,2024-02-15T15:15:15Z,2024-02-15,15,Thursday,riley,Web,United States,Reading the docs at www.example.com/help before lab.,reading doc URL lab,3,0,0.0729463323950767,Neutral
1019,2024-02-16T08:08:08Z,2024-02-16,8,Friday,sam,Web,United Kingdom,Retweets metric shows -1. That cannot be right.,retweets metric show NUMBER right,11,0,-0.7498753638938069,Negative
1020,2024-02-16T20:00:00Z,2024-02-16,20,Friday,tess,iOS,United Kingdom,Update 1.5 made filtering 2x faster. Impressive!,update NUMBER made filtering faster impressive,76,8,0.9720822190865874,Positive
1022,2024-02-18T06:06:06Z,2024-02-18,6,Sunday,vic,Mobile,United States,Follow @stats401 for more dashboard tips #lab4,follow USER dashboard tip,19,2,0.356992014683783,Neutral
1023,2024-02-19T13:45:00Z,2024-02-19,13,Monday,wes,Web,Canada,"The color scale is okay, nothing special.",color scale okay nothing special,6,0,0.301315326243639,Neutral
