tweet_id,created_at,date,hour,weekday,username,tweet_text_raw,text_clean,likes,retweets,views,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_confidence,sentiment_score,sentiment
1769420471983100278,2024-03-17T10:48:09Z,2024-03-17,10,Sunday,dreamwieber,"Almost forgot to share this – my app Vibescape for #AppleVisionPro made it onto Apple's 'best of spatial computing' list 🤯 I'm getting close to finished with the update, which I've been working so hard on. Thanks so much for everyone who's supported this indie app! ✨ https://t.co/WDEOuMdWyt",almost forgot share app vibescape applevisionpro made onto apple best spatial computing list getting close finished update working hard thanks much everyone supported indie app URL,4,1,246,0.0021238347981125,0.0114649189636111,0.9864112734794616,0.9864112734794616,0.9842874386813492,Positive
1769416672518226109,2024-03-17T10:33:03Z,2024-03-17,10,Sunday,vikrantnyc,"Trying to install @solflare_wallet on the #AppleVisionPro mid flight so I can continue my #Solana meme-ing. @cakewallet has Solana and Solana tokens, but we haven’t linked it to Jupiter or Raydium yet. I guess we need to do that. https://t.co/aeN0dm8eND",trying install USER applevisionpro mid flight continue solana USER solana solana token linked jupiter raydium yet guess need URL,15,2,1945,0.0185408778488636,0.710322916507721,0.2711361944675445,0.710322916507721,0.2525953166186809,Neutral
1769415288242557044,2024-03-17T10:27:33Z,2024-03-17,10,Sunday,marrrklawson,"I’ve said this since day one, and was almost burned at the stake for it. 😂 But, it’s just common sense. It’ll take quite some time, if ever before something like Apple Vision Pro and the others will be anywhere close to mainstream. #AppleVisionPro 🥽",said since day one almost burned stake common sense take quite time ever something like apple vision pro others anywhere close mainstream applevisionpro,0,0,57,0.158764973282814,0.3414791226387024,0.4997559785842895,0.4997559785842895,0.3409910053014755,Positive
1769393400682283017,2024-03-17T09:00:35Z,2024-03-17,9,Sunday,billionsbits,Breaking💥 Apple purchases AI firm DarwinAI. #apple #ai #darwinai #AppleJack #AppleTV #iphone #mac #iPad #AppleWatch #AppleVisionPro @Apple https://t.co/Oyu2aEpPV3,apple purchase ai firm darwinai apple ai darwinai applejack appletv iphone mac ipad applewatch applevisionpro USER URL,0,0,43,0.0043689301237463,0.5006252527236938,0.4950057864189148,0.5006252527236938,0.4906368562951684,Neutral
1769362919391654088,2024-03-17T06:59:27Z,2024-03-17,6,Sunday,hefields3,Them: What are you doing for spring break? Me: Breakin (with my #AppleVisionPro) https://t.co/HpXchRdFgo,spring break breakin applevisionpro URL,1,0,192,0.0039317072369158,0.7375077605247498,0.2585605680942535,0.7375077605247498,0.2546288608573377,Neutral
1769361399975657821,2024-03-17T06:53:25Z,2024-03-17,6,Sunday,enilev,@FrRonconi @ZARA @Hana_ElSayyed @Shi4Tech @CurieuxExplorer @anand_narang @Fabriziobustama @fogle_shane @Khulood_Almani @baski_LA Fantastic! A cool #AppleVisionPro ad as well as for #ZARA 🙌 Happy Sunday and happy #shopping 👋,USER USER USER USER USER USER USER USER USER USER fantastic cool applevisionpro ad well zara happy sunday happy shopping,3,0,34,0.0021240734495222,0.0068420958705246,0.9910338521003724,0.9910338521003724,0.98890977865085,Positive
1769340041480867880,2024-03-17T05:28:33Z,2024-03-17,5,Sunday,bunchesframing,@BeauNouvelle @ilyamiskov Do the demo to see the future. Perhaps AVP is out of budget? Wait for the cheaper visionOS product release. It’s next up. I am a non-iOS developer. I love #AppleVisionPro. Use it almost daily.,USER USER demo see future perhaps avp budget wait cheaper visionos product release next developer love applevisionpro use almost daily,0,0,32,0.0087822768837213,0.1125917732715606,0.8786259889602661,0.8786259889602661,0.8698437120765448,Positive
1769334739561775558,2024-03-17T05:07:29Z,2024-03-17,5,Sunday,guruhitech1,Apple Vision Pro entra in sala operatoria: la tecnologia al servizio della chirurgia #AppleVisionPro #medicina #chirurgia #Apple #salute #ospedale https://t.co/YSzuquxCkp,apple vision pro entra sala operatoria la tecnologia al servizio della chirurgia applevisionpro medicina chirurgia apple salute ospedale URL,0,0,49,0.0114784566685557,0.5460318922996521,0.4424896240234375,0.5460318922996521,0.4310111673548817,Neutral
1769286570933100546,2024-03-17T01:56:04Z,2024-03-17,1,Sunday,technologix,New technologies #applevisionpro https://t.co/B4ixR27kXR,new technology applevisionpro URL,6,4,112,0.0125671494752168,0.5439925193786621,0.443440318107605,0.5439925193786621,0.4308731686323881,Neutral
1769193939817705818,2024-03-16T19:47:59Z,2024-03-16,19,Saturday,om_arie_,Om Tekno Trend: Apple Vision Pro - Membawa Era Realitas Augmentasi Ke Level Berikutnya https://t.co/Oi5VQxYe1Y #Apple #AppleVisionPro @Apple @iBoxIndonesia https://t.co/HFAl8EG24v,om tekno trend apple vision pro membawa era realitas augmentasi ke level berikutnya URL apple applevisionpro USER USER URL,0,0,52,0.0045997379347682,0.7521502375602722,0.2432501018047332,0.7521502375602722,0.238650363869965,Neutral
